X1	X2	X3	X4	Y1_obj	Y2_obj	Y3_obj	Y1_sub	Y2_sub	Y3_sub	Y4_sub	Y5_sub
0.5759	0.220977702	0.652380952	0.601190476	4.925962011	4.709109607	3.230949988	4	4.333333333	4.066666667	4.2	4.133333333
0.5011	0.188382924	0.657142857	0.571428571	4.811913494	4.661404316	3.618166352	4.777777778	4.933333333	4.8	5	5
0.6429	0.341987891	0.6	0.583333333	4.791438804	4.511338603	4.006032261	4.944444444	5	4.933333333	5	5
0.36	0.007332619	0.7	0.869047619	4.852594268	4.700382758	3.222544151	4.555555556	4.733333333	4.466666667	4.933333333	4.933333333
0.579	0.240929784	0.657142857	0.666666667	4.866540182	4.619272079	2.851402518	4.555555556	4.533333333	4.066666667	4.6	4.466666667
0.5429	0.192906058	0.638095238	0.589285714	4.792140049	4.506570471	3.323546265	4.111111111	4.066666667	3.866666667	3.866666667	4.333333333
0.513	0.20688057	0.704761905	0.583333333	4.852401762	4.320159497	2.053551751	4.611111111	5	4.466666667	4.8	5
0.6257	0.1955397	0.666666667	0.642857143	4.833468969	4.732102142	3.185901186	4.055555556	4.266666667	4	4.4	4.533333333
0.6853	0.313208079	0.638095238	0.583333333	4.851901694	4.761071366	3.93587863	3.055555556	2.933333333	2.933333333	3.066666667	3.333333333
0.636	0.243284356	0.676190476	0.571428571	4.854115255	4.546621059	3.615290729	4.666666667	4.733333333	4.466666667	4.8	5
0.535	0.202112125	0.757142857	0.535714286	4.934921304	4.512211025	5.176982662	4.555555556	4.933333333	4.4	4.8	4.866666667
0.4934	0.105445878	0.50952381	0.630952381	4.832567409	4.372886177	3.531663542	4.555555556	5	4.533333333	4.933333333	5
0.7804	0.33261658	0.638095238	0.55952381	4.956709142	4.680750571	3.557047066	4.777777778	4.8	4.666666667	4.8	4.933333333
0.431	0.14221519	0.628571429	0.589285714	4.900880211	4.652164828	5.384060561	4.166666667	4.6	4.466666667	4.333333333	4.6
0.7054	0.251509152	0.647619048	0.619047619	4.791438804	4.595308159	2.883869147	4.111111111	4.6	4.133333333	4.333333333	4.666666667
0.497	0.107791749	0.633333333	0.56547619	4.848048927	4.485189559	2.678777261	4.166666667	4.666666667	4.333333333	5	4.666666667
0.6397	0.243725136	0.628571429	0.517857143	4.860950029	4.510286206	6.524826337	4	4	4.266666667	4.266666667	4
0.5256	0.207845494	0.785714286	0.607142857	4.876612345	4.530312472	4.66641628	4.444444444	4.866666667	4.466666667	4.8	4.8
0.6559	0.338430296	0.60952381	0.55952381	4.459615207	4.789210092	7.149644045	4.666666667	5	4.2	4.8	5
0.5889	0.272367347	0.633333333	0.654761905	4.628814291	4.711120243	3.076649955	4.333333333	4.666666667	4.466666667	4.466666667	4.866666667
0.567	0.226114898	0.661904762	0.660714286	4.802619339	4.7951678	3.735281636	4.666666667	4.4	4.666666667	4.666666667	4.4
0.6226	0.240103149	0.666666667	0.55952381	4.319962678	4.502373268	1.759885316	3.888888889	4	3.866666667	3.8	4
0.4594	0.165909944	0.585714286	0.482142857	4.632745152	4.690286104	2.111948715	3.888888889	4.866666667	4.2	4.6	4.933333333
